Landkreis;Gemeinde;Ortsteil;Haltestelle;Haltestelle_lang;HalteBeschreibung;globaleID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biberach;Ochsenhausen;Wennedach;Wennedach;Wennedach;;de:08426:6452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biberach;Riedlingen;Riedlingen (Württ);ZOB/Bahnhof;Riedlingen ZOB/Bahnhof;;de:08426:6470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biberach;Schemmerhofen;Schemmerberg;Bahnhof;Schemmerberg Bahnhof;;de:08426:6536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biberach;Tannheim;Tannheim (Württ);Bahnhof;Tannheim Bahnhof;;de:08426:6587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biberach;Warthausen;Barabein;Barabein;Barabein;;de:08426:6637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biberach;Warthausen;Warthausen (Riß);Bahnhof;Warthausen Bahnhof;;de:08426:6650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Bermatingen;Bermatingen;Bahnhof;Bermatingen-Ahausen Bahnhof;;de:08435:14623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Eriskirch;Eriskirch;Bahnhof;Eriskirch Bahnhof;;de:08435:32002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Friedrichshafen;Friedrichshafen;Bahnhof FN Ost;Friedrichshafen Ost;;de:08435:32003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Friedrichshafen;Friedrichshafen;Bahnhof Löwental;FN Löwental Bahnhof;;de:08435:32005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Friedrichshafen;Friedrichshafen;Friedrichsh. Bodensee-Airport;Friedrichsh. Bodensee-Airport;;de:08435:4151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Friedrichshafen;Friedrichshafen;Hafenbahnhof;Friedrichsh. Hafenbahnhof;;de:08435:44001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Friedrichshafen;Friedrichshafen;Stadtbahnhof;Friedrichsh. Stadtbahnhof;;de:08435:44002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Friedrichshafen;Friedrichshafen;Landratsamt;Friedrichshafen Landratsamt;;de:08435:4503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Kressbronn am Bodensee;Kressbronn;Bahnhof;Kressbronn Bahnhof;;de:08435:44168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Langenargen;Langenargen;Bahnhof;Langenargen Bahnhof;;de:08435:44160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Markdorf;Markdorf (Baden);Bahnhof;Markdorf Bahnhof;;de:08435:4646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Meckenbeuren;Kehlen;Bahnhof Kehlen;Meckenbeuren Kehlen, Bahnhof;;de:08435:32007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Meckenbeuren;Meckenbeuren;Bahnhof;Meckenb. Bahnhof;;de:08435:4203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Salem;Salem (Baden);Salem Bahnhof (Süd);Salem Bahnhof (Süd);;de:08435:4580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Sipplingen;Sipplingen;Bahnhof;Sipplingen Bahnhof;;de:08435:4547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Überlingen;Überlingen (Bodens.);Bahnhof Nußdorf;Überlingen Nußdorf, Bahnhof;;de:08435:4535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Überlingen;Überlingen (Bodens.);Bhf. Therme Überlingen;Überl. Bhf. Therme Überlingen;;de:08435:4543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodenseekreis;Uhldingen-Mühlhofen;Uhldingen-Mühlhofen;Bahnhof;Uhldingen-Mühlhofen, Bahnhof;;de:08435:4594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Auggen;Auggen;Bahnhof;Auggen Bahnhof;;de:08315:6642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Bad Krozingen;Bad Krozingen;Bahnhof;Bad Krozingen Bahnhof;;de:08315:6501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Bad Krozingen;Bad Krozingen;Ost Bahnhof;Bad Krozingen Ost Bahnhof;;de:08315:6502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Ballrechten-Dottingen;Ballrechten;Winzergenossenschaft;Ballrechten WG;;de:08315:5018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Bötzingen;Bötzingen;Bahnhof;Bötzingen Bahnhof;;de:08315:6658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Bötzingen;Bötzingen;Mühle;Bötzingen Mühle;;de:08315:6710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Breisach am Rhein;Breisach am Rhein;Bahnhof;Breisach Bahnhof;;de:08315:6504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Buchenbach;Himmelreich/Breisgau;Bahnhof;Himmelreich Bahnhof;;de:08315:6516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Buggingen;Buggingen;Bahnhof;Buggingen Bahnhof;;de:08315:6644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Ebringen;Ebringen (Breisgau);Bahnhof;Ebringen (Frbg) Bahnhof;;de:08315:6661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Ehrenkirchen;Norsingen;Bahnhof;Norsingen Bahnhof;;de:08315:6670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Eichstetten;Eichstetten;Bahnhof;Eichstetten a K Bahnhof;;de:08315:6662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Feldberg im Schwarzwald;Altglashütten;Falkau Bahnhof;Altglashütten Falkau Bahnhof;;de:08315:6536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Feldberg im Schwarzwald;Bärental (Schwarzw);Bahnhof;Bärental Bahnhof;;de:08315:6539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Friedenweiler;Rötenbach (Friedenw);Bahnhof;Rötenbach (Friedenw) Bahnhof;;de:08315:6545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Gottenheim;Gottenheim;Bahnhof;Gottenheim Bahnhof;;de:08315:6513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
