ID;HST_DHID;HST_Name;Datenquelle;Datenstatus;Longitude;Latitude;Koordindatenquelle;OSM_ID;Sitzplätze;Unterstand;RollstuhlflächeImUnterstand;Fahrplananzeigetafel;Fahrplananzeigetafel_akustisch;Ansagen_vorhanden;Defibrillator;Defibrillator_Lagebeschreibung;Gepäckaufbewahrung;Gepäcktransport;InduktiveHöranlage;InduktiveHöranlageStandort;InfoNotrufsäule;Bahnhofsmission;HaltestelleTotale_Foto;SitzeOderUnterstand_Foto;SitzeOderUnterstandUmgebung_Foto;Fahrplananzeigetafel_Foto;Defibrillator_Foto;Gepäckaufbewahrung_Foto;InfoNotrufsäule_Foto;Bahnhofsmision_Foto;BahnhofsmissionWeg_Foto;BahnhofsmissionÖffnungszeiten_Foto;WeitereBilder1_Foto;WeitereBilder2_Foto;WeitereBilder3_Foto
de:08235:8960;de:08235:8960;Bahnhof Bad Wildbad;NVBW;Rohdaten;8,5513775;48,7552854;Haltestelle-Sollposition;;nein;nein;;ja;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08236:1791;de:08236:1791;Ersingen;NVBW;Rohdaten;8,6384782;48,9306716;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08437:41280;de:08437:41280;Bahnhof (Storzingen);NVBW;Rohdaten;9,1273863;48,135081;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08437:41280/be6f3b4d-871a-4959-bfbf-6172c7adf150.jpg;;;;;;;;;;;;
de:08436:9001;de:08436:9001;Bahnhof Mochenwangen;NVBW;Rohdaten;9,6376473;47,8721232;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08436:9001/00a5c183-695d-4bd9-9dab-4df6b72a9c77.jpg;;;;;;;;;;;;
de:08226:3065;de:08226:3065;Bahnhof (Neidenstein (Baden));NVBW;Rohdaten;8,8901502;49,3202391;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08226:3065/2a888304-1dde-4484-8487-8accfc586f36.jpg;;;;;;;;;;;;
de:08437:44000;de:08437:44000;Bahnhof (Beuron);NVBW;Rohdaten;8,9721305;48,0488765;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08437:44000/2c7dcca2-4618-4bec-a4d0-288f9f708320.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08437:44000/92dcadd7-22b4-42f6-851f-18e23450fab0.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08437:44000/505f320a-aecf-4203-8f20-54bb68a3a623.jpg;;;;;;;;;;
de:08226:3285;de:08226:3285;Bahnhof (Oftersheim);NVBW;Rohdaten;8,5790097;49,373507;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08127:20536;de:08127:20536;Schrozberg Bahnhof;NVBW;Rohdaten;9,9749993;49,3468189;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;Notrufsäule;nein;;;;;;;;;;;;;
de:08437:44005;de:08437:44005;Bahnhof (Hausen im Tal);NVBW;Rohdaten;9,0280236;48,0805922;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08437:44005/cd6925a1-3d4c-403a-b899-6b5b04b61b3a.jpg;;;;;;;;;;;;
de:08236:2290;de:08236:2290;Ölbronn - Dürrn;NVBW;Rohdaten;8,7534985;48,9859161;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
